Entity,Code,Year,Homicide rate
Afghanistan,AFG,2018,6.65556097
Albania,ALB,2018,2.289492369
Algeria,DZA,2018,1.364276409
American Samoa,ASM,2018,5.382227898
Andorra,AND,2018,1.194015622
Angola,AGO,2018,4.847074986
Antigua and Barbuda,ATG,2018,11.06109047
Argentina,ARG,2018,5.324478626
Armenia,ARM,2018,1.693915606
Aruba,ABW,2018,1.927227855
Australia,AUS,2018,0.891632378
Austria,AUT,2018,0.967228591
Azerbaijan,AZE,2018,2.201107502
Bahamas,BHS,2018,31.95817184
Bahrain,BHR,2018,0.523923457
Bangladesh,BGD,2018,2.373328686
Barbados,BRB,2018,9.768350601
Belarus,BLR,2018,2.390872717
Belgium,BEL,2018,1.690054178
Belize,BLZ,2018,37.7885704
Benin,BEN,2018,1.127497435
Bermuda,BMU,2018,8.142885208
Bhutan,BTN,2018,1.19300735
Bolivia,BOL,2018,6.218374252
Bosnia and Herzegovina,BIH,2018,1.17331028
Botswana,BWA,2018,15.24830627
Brazil,BRA,2018,27.38253021
British Virgin Islands,VGB,2018,8.325701714
Brunei,BRN,2018,0.494542718
Bulgaria,BGR,2018,1.304666638
Burkina Faso,BFA,2018,1.250440478
Burundi,BDI,2018,6.054537296
Cambodia,KHM,2018,1.843011022
Cameroon,CMR,2018,1.388093472
Canada,CAN,2018,1.755921125
Cape Verde,CPV,2018,6.804422379
Cayman Islands,CYM,2018,8.217197418
Central African Republic,CAF,2018,20.12040138
Chile,CHL,2018,4.404894352
China,CHN,2018,0.527090788
Colombia,COL,2018,25.34380341
Costa Rica,CRI,2018,11.26125431
Croatia,HRV,2018,0.577421784
Cuba,CUB,2018,5.046268463
Curacao,CUW,2018,19.03660202
Cyprus,CYP,2018,1.261286378
Czechia,CZE,2018,0.620240569
Denmark,DNK,2018,1.008322001
Dominica,DMA,2018,26.5883007
Dominican Republic,DOM,2018,10.04973412
Ecuador,ECU,2018,5.800627232
Egypt,EGY,2018,2.55374074
El Salvador,SLV,2018,52.01892471
Estonia,EST,2018,2.116541386
Eswatini,SWZ,2018,11.5575285
Ethiopia,ETH,2018,8.792478561
Fiji,FJI,2018,2.308277369
Finland,FIN,2018,1.629671574
France,FRA,2018,1.198636532
French Polynesia,PYF,2018,0.376994312
Georgia,GEO,2018,2.223362446
Germany,DEU,2018,0.947976649
Ghana,GHA,2018,2.091241121
Gibraltar,GIB,2018,2.977519751
Greece,GRC,2018,0.940863967
Greenland,GRL,2018,5.318394661
Grenada,GRD,2018,10.82309628
Guam,GUM,2018,2.504853249
Guatemala,GTM,2018,22.5013485
Guinea-Bissau,GNB,2018,1.148704767
Guyana,GUY,2018,14.248909
Haiti,HTI,2018,6.679742813
Honduras,HND,2018,38.92559052
Hong Kong,HKG,2018,0.651136339
Hungary,HUN,2018,2.487198591
Iceland,ISL,2018,0.890969157
India,IND,2018,3.079232454
Indonesia,IDN,2018,0.43453458
Iran,IRN,2018,2.499168396
Iraq,IRQ,2018,10.07025337
Ireland,IRL,2018,0.871605456
Isle of Man,IMN,2018,1.201460958
Israel,ISR,2018,1.492021561
Italy,ITA,2018,0.56905067
Jamaica,JAM,2018,43.85227966
Japan,JPN,2018,0.262574106
Jordan,JOR,2018,1.35910666
Kazakhstan,KAZ,2018,5.060834408
Kenya,KEN,2018,4.928728104
Kiribati,KIR,2018,7.521695614
Kuwait,KWT,2018,1.821519732
Kyrgyzstan,KGZ,2018,2.189077616
Latvia,LVA,2018,4.35580492
Lebanon,LBN,2018,2.492926598
Lesotho,LSO,2018,43.56460571
Liberia,LBR,2018,3.264289856
Liechtenstein,LIE,2018,2.637269974
Lithuania,LTU,2018,4.569355965
Luxembourg,LUX,2018,0.33788693
Macao,MAC,2018,0.316639572
Malawi,MWI,2018,1.812157869
Malaysia,MYS,2018,2.127665043
Maldives,MDV,2018,0.721861839
Malta,MLT,2018,1.593607306
Marshall Islands,MHL,2018,3.982953072
Mauritius,MUS,2018,2.919860125
Mexico,MEX,2018,29.07106209
Moldova,MDA,2018,4.096792698
Monaco,MCO,2018,2.924917459
Mongolia,MNG,2018,6.182548046
Montenegro,MNE,2018,2.229998827
Morocco,MAR,2018,1.415522933
Mozambique,MOZ,2018,3.510077477
Myanmar,MMR,2018,2.258451223
Namibia,NAM,2018,17.67833328
Nepal,NPL,2018,2.299783945
Netherlands,NLD,2018,0.586181581
New Caledonia,NCL,2018,3.198950768
New Zealand,NZL,2018,0.744359493
Nicaragua,NIC,2018,7.185947895
Niger,NER,2018,4.428158283
Nigeria,NGA,2018,34.52404404
North Macedonia,MKD,2018,1.20021677
Norway,NOR,2018,0.468343705
Oman,OMN,2018,0.269180328
Pakistan,PAK,2018,3.883082628
Palau,PLW,2018,11.16632271
Palestine,PSE,2018,0.49352476
Panama,PAN,2018,9.385022163
Papua New Guinea,PNG,2018,9.753078461
Paraguay,PRY,2018,7.144839764
Peru,PER,2018,7.909224033
Philippines,PHL,2018,6.464988232
Poland,POL,2018,0.730454683
Portugal,PRT,2018,0.789766788
Puerto Rico,PRI,2018,21.08831406
Qatar,QAT,2018,0.36597237
Romania,ROU,2018,1.281649709
Russia,RUS,2018,8.209475517
Rwanda,RWA,2018,2.577168703
Saint Kitts and Nevis,KNA,2018,36.08588409
Saint Lucia,LCA,2018,21.44153023
Saint Martin (French part),MAF,2018,27.73078918
Saint Vincent and the Grenadines,VCT,2018,36.54069138
Samoa,WSM,2018,3.146105051
San Marino,SMR,2018,3.549245834
Sao Tome and Principe,STP,2018,3.251662493
Saudi Arabia,SAU,2018,1.265815735
Senegal,SEN,2018,0.267518163
Serbia,SRB,2018,1.226890564
Seychelles,SYC,2018,12.53774357
Sierra Leone,SLE,2018,1.728967786
Singapore,SGP,2018,0.15631777
Slovakia,SVK,2018,1.136985302
Slovenia,SVN,2018,0.481269926
Solomon Islands,SLB,2018,3.774589539
South Africa,ZAF,2018,35.90000153
South Korea,KOR,2018,0.603849411
South Sudan,SSD,2018,13.89999962
Spain,ESP,2018,0.621079922
Sri Lanka,LKA,2018,2.421243668
Sudan,SDN,2018,5.148084164
Suriname,SUR,2018,5.433820248
Sweden,SWE,2018,1.083072662
Switzerland,CHE,2018,0.586468041
Syria,SYR,2018,0.879312217
Tajikistan,TJK,2018,1.63689363
Tanzania,TZA,2018,6.482657433
Thailand,THA,2018,2.582003593
Timor,TLS,2018,4.095983028
Tonga,TON,2018,0.973368645
Trinidad and Tobago,TTO,2018,30.64950752
Tunisia,TUN,2018,3.060756207
Turkey,TUR,2018,2.590475559
Turkmenistan,TKM,2018,4.220273972
Turks and Caicos Islands,TCA,2018,5.654349804
Tuvalu,TUV,2018,18.61504173
Uganda,UGA,2018,10.52445984
Ukraine,UKR,2018,6.183730602
United Arab Emirates,ARE,2018,0.463782489
United Kingdom,GBR,2018,1.204914808
United States,USA,2018,4.956950665
United States Virgin Islands,VIR,2018,49.27788925
Uruguay,URY,2018,12.06045341
Uzbekistan,UZB,2018,1.135802746
Venezuela,VEN,2018,36.68763351
Vietnam,VNM,2018,1.5280509
Yemen,YEM,2018,6.772149563
Zambia,ZMB,2018,5.371749401
Zimbabwe,ZWE,2018,7.479899883
